Item,Quantity,Price
dish10,8,40
dish8,7,90
dish8,8,90
dish3,5,45
dish8,3,30
dish4,2,45
dish6,8,30
dish6,10,80
dish9,5,50
dish10,3,80
dish5,3,80
dish6,3,40
dish2,9,55
dish9,3,40
dish8,1,85
dish9,8,65
dish3,10,55
dish8,4,60
dish10,8,30
dish10,9,45
dish6,3,40
dish9,10,80
dish1,9,55
dish2,3,60
dish8,5,80
dish6,7,55
dish5,5,45
dish4,3,60
dish8,3,60
dish5,10,40
dish9,3,30
dish3,8,65
dish6,12,55
dish9,1,30
dish10,3,60
dish2,3,65
dish6,9,45
dish7,8,90
dish9,10,40
dish5,10,90
dish6,1,40
dish5,4,45
dish5,8,65
dish6,9,85
dish10,5,30
dish1,12,50
dish4,2,85
dish6,1,40
dish10,10,45
dish2,9,45
dish2,1,85
dish7,12,50
dish5,5,60
dish3,5,45
dish4,9,85
dish8,5,85
dish6,8,85
dish4,8,80
dish10,3,60
dish8,5,45
dish2,10,60
dish10,5,45
dish4,9,40
dish6,7,85
dish1,2,50
dish4,8,50
dish8,8,45
dish4,7,45
dish7,12,65
dish5,7,80
dish5,12,80
dish1,4,65
dish10,9,90
dish8,10,45
dish7,1,90
dish1,5,85
dish8,2,45
dish3,8,60
dish9,7,90
dish1,1,45
dish9,2,60
dish6,7,55
dish5,7,45
dish2,9,65
dish3,10,45
dish2,3,60
dish2,4,55
dish7,9,30
dish8,8,90
dish6,2,65
dish5,9,30
dish1,3,85
dish8,4,65
dish10,9,60
dish5,5,60
dish2,5,50
dish2,1,45
dish7,9,40
dish10,1,90
dish6,8,80
